time,crosswalk_L,crosswalk_R,crosswalk_U,crosswalk_B,cars_L,cars_R
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,1,0,0,0
5,0,0,1,0,0,0
6,0,0,1,0,0,0
7,0,1,2,0,0,0
8,2,2,3,0,0,0
9,4,2,3,0,0,0
10,4,3,4,0,0,0
11,4,4,4,0,0,0
12,4,4,4,0,0,0
13,4,4,5,0,0,0
14,5,4,5,0,0,0
15,5,4,6,0,0,0
16,6,4,6,0,0,0
17,8,4,7,0,0,0
18,9,4,7,0,0,0
19,10,5,7,0,0,0
20,10,5,7,0,0,0
21,11,5,7,0,0,0
22,12,6,9,0,0,0
23,12,7,10,0,0,0
24,13,9,11,1,0,0
25,14,9,12,2,0,0
26,15,11,12,2,0,0
27,13,10,11,0,0,0
28,11,9,9,0,2,0
29,11,10,8,0,2,1
30,11,9,7,0,2,1
31,10,8,6,0,2,1
32,10,8,5,0,2,1
33,10,8,5,0,3,2
34,10,7,5,0,4,2
35,9,6,4,0,4,2
36,8,5,3,0,4,2
37,7,4,3,0,4,3
38,6,4,2,0,5,4
39,5,3,2,0,5,4
40,5,2,3,0,5,5
41,5,1,4,0,5,5
42,6,2,4,0,3,0
43,6,2,4,0,3,0
44,7,2,4,0,6,0
45,8,3,4,0,6,0
46,8,4,5,0,0,4
47,9,4,6,0,0,0
48,10,4,7,1,0,0
49,10,6,7,1,0,0
50,10,7,7,1,6,0
51,10,7,7,1,0,0
52,12,8,7,1,0,0
53,14,9,7,1,0,0
54,14,10,7,1,0,0
55,14,10,9,1,0,0
56,15,10,9,1,0,0
57,16,11,9,1,0,0
58,18,12,10,1,0,0
59,18,14,11,1,0,0
60,18,15,12,1,0,0
61,18,15,12,2,0,0
62,18,15,13,2,1,0
63,18,16,13,2,0,0
64,18,17,13,2,0,0
65,19,17,15,2,0,0
66,20,18,16,2,0,0
67,20,17,14,1,3,0
68,18,15,13,0,3,1
69,16,14,13,0,3,1
70,15,13,12,0,3,2
71,13,14,12,0,3,3
72,12,13,12,0,5,3
73,12,12,11,0,5,3
74,12,11,10,0,5,3
75,12,10,9,0,5,3
76,12,9,9,0,5,3
77,11,8,9,0,5,3
78,10,7,10,0,7,3
79,9,6,9,0,7,3
80,8,5,8,0,7,3
81,7,4,7,0,7,3
82,7,4,7,0,5,1
83,7,4,7,0,4,0
84,7,5,7,1,4,0
85,8,6,8,1,6,0
86,8,7,10,1,0,0
87,9,7,10,1,0,0
88,10,7,10,1,0,0
89,10,7,12,1,0,0
90,11,7,12,1,6,0
91,11,7,13,1,0,0
92,12,7,13,1,0,0
93,12,8,13,1,0,0
94,12,8,14,1,0,0
95,13,8,14,1,0,0
96,13,9,14,1,0,0
97,14,9,14,1,0,0
98,14,9,15,1,0,0
99,15,9,15,1,0,0
100,16,10,17,1,0,0
101,16,11,19,2,0,0
102,18,12,19,2,0,0
