time,crosswalk_L,crosswalk_R,crosswalk_U,crosswalk_B,cars_L,cars_R
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,0,0,0,0,1,0
9,0,0,0,0,0,0
10,0,0,0,0,0,0
11,0,0,0,0,0,0
12,0,0,0,0,0,0
13,0,0,0,0,1,0
14,0,0,0,0,0,0
15,0,0,0,0,0,0
16,0,0,0,0,0,0
17,0,0,0,0,1,0
18,0,0,0,0,0,1
19,0,0,0,0,1,0
20,0,0,0,0,2,0
21,0,0,0,0,2,0
22,0,0,0,0,2,0
23,0,0,0,0,0,0
24,0,0,0,0,0,0
25,0,0,0,0,1,0
26,0,0,0,0,2,0
27,0,0,0,0,4,1
28,0,0,0,0,2,0
29,0,0,0,0,2,0
30,0,0,0,0,2,0
31,0,0,0,0,0,0
32,0,0,0,0,3,0
33,0,0,0,0,1,0
34,0,0,0,0,0,0
35,0,0,0,0,1,0
36,0,0,0,0,0,0
37,0,0,0,0,0,0
38,0,0,0,0,0,0
39,0,0,0,0,0,0
40,0,0,0,0,1,1
41,0,0,0,0,1,0
42,0,0,0,0,0,0
43,0,0,0,0,0,1
44,0,0,0,0,0,2
45,0,0,0,0,0,2
46,0,0,0,0,0,0
47,0,0,0,0,3,0
48,0,0,0,0,5,1
49,0,0,0,0,0,0
50,0,0,0,0,0,1
51,0,0,0,0,2,1
52,0,0,0,0,2,1
53,0,0,0,0,4,0
54,0,0,0,0,4,0
55,0,0,0,0,5,0
56,0,0,0,0,4,0
57,0,0,0,0,0,0
58,0,0,0,0,1,0
59,0,0,0,0,1,0
60,0,0,0,0,0,0
61,0,0,0,0,5,0
62,0,0,0,0,5,0
63,1,0,0,0,0,0
64,0,0,0,0,1,0
65,0,0,0,0,2,1
66,0,0,0,0,3,0
67,0,0,0,0,4,0
68,0,0,0,0,5,0
69,0,0,0,0,0,0
70,0,0,0,0,0,2
71,0,0,0,0,0,2
72,0,0,0,0,0,1
73,0,0,0,0,3,1
74,0,0,0,0,4,1
75,0,0,0,0,0,1
76,0,0,0,0,1,4
77,0,0,0,0,1,4
78,0,0,0,0,4,5
79,0,0,0,0,5,6
80,0,0,0,0,6,7
81,0,0,0,0,8,8
82,0,0,0,0,9,8
83,0,0,0,0,10,5
84,0,0,0,0,11,6
85,0,0,0,0,12,0
86,0,0,0,0,6,0
87,0,0,0,0,2,0
88,0,0,0,0,0,0
89,0,0,0,0,1,5
90,0,0,0,0,10,4
91,0,0,0,0,10,1
92,0,0,0,0,10,2
93,0,0,0,0,4,0
94,0,0,0,0,1,0
95,0,0,0,0,0,0
96,0,0,0,0,0,0
97,0,0,0,0,0,1
98,0,0,0,0,0,1
99,0,0,0,0,1,0
100,0,0,0,0,0,0
101,0,0,0,0,0,0
102,0,0,0,0,0,0
103,0,0,0,0,0,0
104,0,0,0,0,1,0
105,0,0,0,0,2,1
106,0,0,0,0,0,0
107,0,0,0,0,0,0
108,0,0,0,0,1,0
109,0,0,0,0,2,1
110,0,0,0,0,3,0
111,0,0,0,0,2,0
112,0,0,0,0,2,0
113,0,0,0,0,0,0
114,0,0,0,0,0,2
115,0,0,0,0,0,0
116,0,0,1,0,2,0
117,0,0,1,0,2,0
118,0,0,1,0,0,0
119,0,0,1,0,0,0
120,0,0,1,0,0,0
121,0,0,1,0,0,0
122,0,0,0,0,1,1
123,0,0,0,0,2,0
124,0,0,0,0,3,0
125,0,0,0,0,3,0
126,0,0,0,0,3,0
127,0,0,0,0,4,2
128,0,0,0,0,5,0
129,0,0,0,0,0,0
130,0,0,0,0,0,0
131,0,0,0,0,0,0
132,0,0,0,0,0,0
133,0,0,0,0,5,1
134,0,0,0,0,5,1
135,0,0,0,0,3,0
136,0,0,0,0,3,0
137,0,0,0,0,0,1
138,0,0,0,0,0,1
139,0,0,0,0,0,0
140,0,0,0,0,0,0
141,0,0,0,0,0,1
142,0,0,0,0,0,1
143,0,0,0,0,1,1
144,0,0,0,0,2,0
145,0,0,0,0,2,1
146,0,0,0,0,2,2
147,0,0,0,0,0,3
148,0,0,0,0,0,5
149,0,0,0,0,0,5
150,0,0,0,0,0,0
151,0,0,0,1,2,0
152,0,0,0,1,2,0
153,0,0,0,1,0,1
154,0,0,0,2,0,6
155,0,0,0,2,1,5
156,0,0,0,2,0,2
157,0,0,0,1,1,2
158,0,0,0,0,2,3
159,0,0,0,0,2,5
160,0,0,0,0,4,5
161,0,0,0,0,5,0
162,0,0,0,0,6,0
163,0,0,0,0,5,0
164,0,0,0,0,2,0
165,0,0,0,0,3,4
166,0,0,0,0,1,0
167,0,0,1,0,1,0
168,0,0,1,0,3,0
169,0,0,1,0,0,0
170,0,0,1,0,0,0
171,0,0,1,0,0,0
172,0,0,0,0,1,0
173,0,0,0,0,3,0
