time,crosswalk_L,crosswalk_R,crosswalk_U,crosswalk_B,cars_L,cars_R
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,1,0,0,0
8,0,0,0,0,1,1
9,0,0,0,0,1,2
10,0,0,0,0,2,2
11,0,0,1,0,3,3
12,0,0,0,0,4,3
13,0,0,0,0,5,3
14,0,0,0,0,6,5
15,0,0,0,0,6,5
16,0,0,0,0,7,5
17,0,0,0,0,7,6
18,0,0,0,0,7,6
19,0,0,0,0,8,7
20,0,0,0,0,8,8
21,0,0,0,0,9,8
22,0,1,0,0,10,8
23,0,0,0,0,11,9
24,0,0,0,0,12,9
25,0,0,0,0,12,9
26,0,0,0,0,13,10
27,0,0,0,0,13,10
28,0,0,0,0,13,10
29,0,0,0,0,13,10
30,0,0,0,0,13,12
31,0,0,1,0,13,13
32,0,0,0,0,13,14
33,0,1,1,0,7,8
34,0,1,1,0,1,2
35,0,1,1,0,0,0
36,1,1,2,0,0,0
37,1,1,3,0,0,0
38,1,2,3,0,0,0
39,1,2,3,0,0,0
40,1,3,4,0,0,0
41,1,3,5,0,0,0
42,1,3,6,0,0,0
43,2,4,6,0,0,0
44,3,5,7,0,0,0
45,4,7,8,0,0,0
46,4,7,8,0,0,0
47,5,8,10,0,0,0
48,5,8,10,0,0,0
49,5,9,13,0,0,0
50,5,9,14,0,0,0
51,7,11,15,0,0,0
52,7,12,15,0,0,0
53,7,12,15,0,0,0
54,7,12,17,0,0,0
55,9,15,17,0,0,0
56,10,16,17,0,0,0
57,11,16,18,0,0,0
58,11,16,19,0,0,0
59,12,17,19,0,0,0
60,12,18,19,0,1,0
61,12,18,19,0,0,0
62,10,17,19,0,0,0
63,8,15,17,0,0,2
64,6,14,16,0,0,3
65,4,13,14,0,0,4
66,3,12,12,0,0,4
67,1,11,11,0,0,4
68,0,10,9,0,1,5
69,0,8,7,0,1,5
70,0,8,6,0,1,5
71,0,7,5,0,1,5
72,0,6,4,0,1,5
73,0,6,3,0,1,6
74,0,6,4,0,1,6
75,0,5,3,0,1,7
76,0,4,2,0,1,9
77,0,3,1,0,2,10
78,0,2,0,0,2,10
79,0,2,0,0,2,11
80,0,0,0,0,2,11
81,0,0,0,0,3,12
82,0,0,0,0,3,12
83,0,0,0,0,3,12
84,0,0,0,0,3,12
85,0,0,0,0,4,13
86,0,0,0,0,6,14
87,1,0,0,0,8,14
88,1,0,0,0,8,14
89,0,0,0,0,9,15
90,0,0,0,0,9,15
91,0,0,1,0,9,17
92,0,0,1,0,10,18
93,0,1,1,0,10,12
94,0,2,2,0,4,6
95,1,2,2,0,0,0
96,1,4,2,0,0,0
97,1,6,2,1,0,0
98,1,8,2,1,0,0
99,1,9,2,1,0,0
100,2,9,3,1,0,0
101,2,10,4,2,0,0
102,3,10,4,3,0,0
103,3,10,5,3,0,0
104,4,10,7,3,0,0
105,4,10,8,3,0,0
106,4,10,8,3,0,0
107,4,10,8,3,0,0
108,4,10,8,3,0,0
109,4,10,8,3,0,0
110,4,10,8,3,0,0
111,4,12,8,3,0,0
112,4,12,9,4,0,0
113,4,13,10,5,1,0
114,4,14,10,5,0,0
115,4,15,12,6,0,0
116,4,17,12,6,0,0
117,5,17,12,6,0,0
118,5,17,12,7,0,0
119,5,17,12,7,0,0
120,5,17,12,8,0,0
121,6,17,13,8,0,0
122,4,16,11,6,0,0
123,2,14,9,4,0,0
124,1,12,10,3,0,2
125,0,11,12,2,1,3
126,0,9,12,1,2,3
127,0,8,13,0,2,3
128,0,7,13,0,2,3
129,0,5,13,0,2,3
130,0,3,12,0,2,3
131,0,2,12,0,2,5
132,0,0,12,0,2,5
133,0,0,11,0,3,5
134,0,0,10,0,6,6
135,0,0,9,0,6,6
136,0,0,8,0,6,6
137,0,0,7,0,6,7
138,0,0,6,0,6,7
139,0,0,5,0,7,8
140,0,0,4,0,7,8
141,0,0,4,0,8,8
142,0,1,3,0,8,8
143,0,0,3,0,8,8
144,0,0,2,0,8,9
145,0,0,2,0,9,9
146,0,0,2,0,10,9
147,0,1,1,0,11,9
148,0,2,0,0,11,9
149,0,2,0,0,11,9
150,0,2,0,0,12,9
151,0,2,0,0,13,9
152,0,2,0,0,13,9
153,0,2,0,0,12,3
154,0,3,0,0,12,0
155,0,3,0,0,6,0
156,0,3,0,0,0,0
157,0,4,1,0,0,0
158,0,5,2,0,0,0
159,0,6,2,0,0,0
160,0,8,2,0,0,0
161,0,9,2,0,0,0
162,0,9,2,0,0,0
163,1,9,2,0,0,0
164,2,9,2,0,0,0
165,2,9,3,0,0,0
166,2,10,3,1,0,0
167,3,11,3,1,0,0
168,4,12,3,1,0,0
169,4,13,3,1,0,0
170,5,14,3,1,0,0
171,5,14,5,1,0,0
172,5,14,5,1,0,0
173,5,17,5,1,0,0
