time crosswalk_L crosswalk_R crosswalk_U crosswalk_B cars_L cars_R
1 0 0 0 0 0 0
2 0 0 0 0 0 0
3 0 0 0 0 0 0
4 0 0 0 0 0 0
5 0 0 1 0 0 0
6 0 0 0 0 0 0
7 0 0 0 0 0 0
8 0 1 0 1 1 1
9 0 0 0 1 2 2
10 0 0 0 0 2 2
11 0 0 0 0 3 2
12 0 0 0 1 3 3
13 0 0 0 0 5 5
14 0 0 0 0 6 6
15 0 0 0 0 6 6
16 0 0 0 0 6 6
17 0 0 0 0 6 7
18 0 0 0 0 6 7
19 0 0 0 0 6 7
20 0 0 0 0 6 7
21 0 0 0 0 6 8
22 0 0 0 0 6 8
23 0 0 1 0 7 8
24 0 0 1 0 7 8
25 0 1 1 0 7 8
26 0 0 2 0 8 8
27 0 0 1 0 9 9
28 0 1 0 0 9 9
29 0 1 0 0 10 10
30 0 0 1 0 10 10
31 0 0 0 1 10 10
32 0 0 1 1 10 10
33 0 0 2 2 9 4
34 0 0 2 2 9 0
35 0 0 2 3 3 0
36 0 1 2 3 0 0
37 1 1 3 3 0 0
38 1 2 4 5 0 0
39 2 3 5 6 0 0
40 3 3 6 7 0 0
41 4 4 7 7 0 0
42 5 4 9 7 0 0
43 5 5 11 7 0 0
44 6 6 13 8 0 0
45 6 8 14 9 0 0
46 8 8 15 10 0 0
47 10 8 16 12 0 0
48 10 8 18 12 0 0
49 10 9 19 12 0 0
50 11 9 20 12 0 0
51 11 10 24 12 0 0
52 13 11 25 14 0 0
53 14 12 26 14 0 0
54 14 13 28 14 0 0
55 16 13 29 14 0 0
56 16 13 31 14 0 0
57 17 13 31 14 0 0
58 18 14 32 14 0 0
59 19 14 33 14 0 0
60 19 14 35 14 0 0
61 20 14 36 15 0 0
62 18 12 37 13 0 0
63 17 12 38 11 0 1
64 16 10 36 10 0 3
65 14 8 34 8 1 4
66 13 7 34 8 2 4
67 12 8 35 6 3 4
68 10 6 33 5 3 5
69 9 6 32 3 3 5
70 9 5 31 2 3 5
71 8 3 30 1 3 6
72 8 3 30 0 4 6
73 7 2 30 0 4 6
74 6 3 29 0 4 6
75 5 4 27 0 5 7
76 5 3 27 0 5 7
77 5 2 26 0 6 7
78 4 1 24 0 8 7
79 5 0 22 0 8 7
80 4 0 20 0 9 8
81 3 0 18 0 10 8
82 2 0 19 0 10 8
83 1 0 18 0 10 8
84 0 0 17 0 10 9
85 0 0 16 0 10 10
86 0 0 14 0 10 11
87 0 1 13 0 10 12
88 0 1 12 0 10 13
89 0 2 13 0 10 13
90 0 1 11 0 12 13
91 0 0 12 0 12 13
92 0 0 13 0 12 13
93 0 0 16 0 11 10
94 0 1 18 0 12 4
95 0 2 19 0 12 0
96 0 2 19 1 13 0
97 1 4 20 1 7 0
98 2 4 21 2 1 0
99 3 5 21 2 0 0
100 4 5 21 3 0 0
101 5 6 22 3 0 0
102 6 7 22 3 0 0
103 6 8 24 4 0 0
104 7 8 25 4 0 0
105 8 9 27 5 0 0
106 8 9 29 5 0 0
107 8 10 29 6 0 0
108 8 10 30 6 0 0
109 10 10 31 6 0 0
110 10 10 33 6 0 0
111 11 10 33 6 0 0
112 12 11 33 7 0 0
113 12 12 33 8 0 0
114 12 12 35 8 0 0
115 12 13 37 9 0 0
116 12 13 38 10 0 0
117 12 14 38 10 0 0
118 13 14 38 12 0 0
119 13 15 38 13 0 0
120 13 16 38 15 0 0
121 13 17 38 17 0 0
122 11 15 37 16 0 0
123 9 13 36 14 1 1
124 7 13 35 12 2 1
125 7 12 35 12 2 2
126 6 11 34 10 3 2
127 5 11 34 9 3 3
128 4 9 33 9 3 3
129 3 7 31 8 3 3
130 2 7 31 7 3 3
131 2 6 31 6 3 3
132 2 5 29 5 3 3
133 1 6 29 4 3 4
134 1 5 28 3 3 5
135 0 4 28 2 3 6
136 0 3 27 2 4 6
137 0 3 25 1 4 7
138 0 2 24 0 4 7
139 0 1 23 0 4 7
140 0 2 21 0 4 7
141 0 2 20 0 4 7
142 0 1 18 0 6 7
143 0 0 17 0 6 7
144 0 0 15 0 6 8
145 0 0 13 0 7 8
146 0 0 13 0 7 8
147 0 0 12 0 8 9
148 0 0 12 0 8 9
149 0 0 12 0 9 9
150 0 0 12 0 10 9
151 0 0 11 0 10 10
152 0 0 11 1 10 10
153 0 0 13 0 10 4
154 1 1 13 1 11 0
155 1 2 14 1 11 0
156 2 3 15 1 11 0
157 2 4 15 1 5 0
158 2 6 16 1 0 0
159 2 6 19 2 0 0
160 2 9 20 2 0 0
161 2 9 20 3 0 0
162 2 11 21 3 0 0
163 4 12 21 4 0 0
164 5 13 23 5 0 0
165 5 15 23 5 0 0
166 6 15 24 5 0 0
167 6 15 25 5 0 0
168 6 17 27 6 0 0
169 8 19 28 9 0 0
170 8 19 28 9 0 0
171 8 19 28 9 0 0
172 8 19 30 9 0 0
173 9 19 31 9 0 0
174 10 20 32 9 0 0
